"PROBEID","SYMBOL","ENTREZID","GENENAME"
"7892789",NA,NA,NA
"7892790",NA,NA,NA
"7892791",NA,NA,NA
"7892792",NA,NA,NA
"7892793",NA,NA,NA
"7892794",NA,NA,NA
"7892795",NA,NA,NA
"7892796",NA,NA,NA
"7892797",NA,NA,NA
"7892798",NA,NA,NA
"7892799",NA,NA,NA
"7892800",NA,NA,NA
"7892801",NA,NA,NA
"7892802",NA,NA,NA
"7892803",NA,NA,NA
"7892804",NA,NA,NA
"7892805",NA,NA,NA
"7892806",NA,NA,NA
"7892807",NA,NA,NA
"7892808",NA,NA,NA
"7892809",NA,NA,NA
"7892810",NA,NA,NA
"7892811",NA,NA,NA
"7892812",NA,NA,NA
"7892813",NA,NA,NA
"7892814",NA,NA,NA
"7892815",NA,NA,NA
"7892816",NA,NA,NA
"7892817",NA,NA,NA
"7892818",NA,NA,NA
"7892819",NA,NA,NA
"7892820",NA,NA,NA
"7892821",NA,NA,NA
"7892822",NA,NA,NA
"7892823",NA,NA,NA
"7892824",NA,NA,NA
"7892825",NA,NA,NA
"7892826",NA,NA,NA
"7892827",NA,NA,NA
"7892828",NA,NA,NA
"7892829",NA,NA,NA
"7892830",NA,NA,NA
"7892831",NA,NA,NA
"7892832",NA,NA,NA
"7892833",NA,NA,NA
"7892834",NA,NA,NA
"7892835",NA,NA,NA
"7892836",NA,NA,NA
"7892837",NA,NA,NA
"7892838",NA,NA,NA
"7892839",NA,NA,NA
"7892840",NA,NA,NA
"7892841",NA,NA,NA
"7892842",NA,NA,NA
"7892843",NA,NA,NA
"7892844",NA,NA,NA
"7892845",NA,NA,NA
"7892846",NA,NA,NA
"7892847",NA,NA,NA
"7892848",NA,NA,NA
"7892849",NA,NA,NA
"7892850",NA,NA,NA
"7892851",NA,NA,NA
"7892852",NA,NA,NA
"7892853",NA,NA,NA
"7892854",NA,NA,NA
"7892855",NA,NA,NA
"7892856",NA,NA,NA
"7892857",NA,NA,NA
"7892858",NA,NA,NA
"7892859",NA,NA,NA
"7892860",NA,NA,NA
"7892861",NA,NA,NA
"7892862",NA,NA,NA
"7892863",NA,NA,NA
"7892864",NA,NA,NA
"7892865",NA,NA,NA
"7892866",NA,NA,NA
"7892867",NA,NA,NA
"7892868",NA,NA,NA
"7892869",NA,NA,NA
"7892870",NA,NA,NA
"7892871",NA,NA,NA
"7892872",NA,NA,NA
"7892873",NA,NA,NA
"7892874",NA,NA,NA
"7892875",NA,NA,NA
"7892876",NA,NA,NA
"7892877",NA,NA,NA
"7892878",NA,NA,NA
"7892879",NA,NA,NA
"7892880",NA,NA,NA
"7892881",NA,NA,NA
"7892882",NA,NA,NA
"7892883",NA,NA,NA
"7892884",NA,NA,NA
"7892885",NA,NA,NA
"7892886",NA,NA,NA
"7892887",NA,NA,NA
"7892888",NA,NA,NA
"7892889",NA,NA,NA
"7892890",NA,NA,NA
"7892891",NA,NA,NA
"7892892",NA,NA,NA
"7892893",NA,NA,NA
"7892894",NA,NA,NA
"7892895",NA,NA,NA
"7892896",NA,NA,NA
"7892897",NA,NA,NA
"7892898",NA,NA,NA
"7892899",NA,NA,NA
"7892900",NA,NA,NA
"7892901",NA,NA,NA
"7892902",NA,NA,NA
"7892903",NA,NA,NA
"7892904",NA,NA,NA
"7892905",NA,NA,NA
"7892906",NA,NA,NA
"7892907",NA,NA,NA
"7892908",NA,NA,NA
"7892909",NA,NA,NA
"7892910",NA,NA,NA
"7892911",NA,NA,NA
"7892912",NA,NA,NA
"7892913",NA,NA,NA
"7892914",NA,NA,NA
"7892915",NA,NA,NA
"7892916",NA,NA,NA
"7892917",NA,NA,NA
"7892918",NA,NA,NA
"7892919",NA,NA,NA
"7892920",NA,NA,NA
"7892921",NA,NA,NA
"7892922",NA,NA,NA
"7892923",NA,NA,NA
"7892924",NA,NA,NA
"7892925",NA,NA,NA
"7892926",NA,NA,NA
"7892927",NA,NA,NA
"7892928",NA,NA,NA
"7892929",NA,NA,NA
"7892930",NA,NA,NA
"7892931",NA,NA,NA
"7892932",NA,NA,NA
"7892933",NA,NA,NA
"7892934",NA,NA,NA
"7892935",NA,NA,NA
"7892936",NA,NA,NA
"7892937",NA,NA,NA
"7892938",NA,NA,NA
"7892939",NA,NA,NA
"7892940",NA,NA,NA
"7892941",NA,NA,NA
"7892942",NA,NA,NA
"7892943",NA,NA,NA
"7892944",NA,NA,NA
"7892945",NA,NA,NA
"7892946",NA,NA,NA
"7892947",NA,NA,NA
"7892948",NA,NA,NA
"7892949",NA,NA,NA
"7892950",NA,NA,NA
"7892951",NA,NA,NA
"7892952",NA,NA,NA
"7892953",NA,NA,NA
"7892954",NA,NA,NA
"7892955",NA,NA,NA
"7892956",NA,NA,NA
"7892957",NA,NA,NA
"7892958",NA,NA,NA
"7892959",NA,NA,NA
"7892960",NA,NA,NA
"7892961",NA,NA,NA
"7892962",NA,NA,NA
"7892963",NA,NA,NA
"7892964",NA,NA,NA
"7892965",NA,NA,NA
"7892966",NA,NA,NA
"7892967",NA,NA,NA
"7892968",NA,NA,NA
"7892969",NA,NA,NA
"7892970",NA,NA,NA
"7892971",NA,NA,NA
"7892972",NA,NA,NA
"7892973",NA,NA,NA
"7892974",NA,NA,NA
"7892975",NA,NA,NA
"7892976",NA,NA,NA
"7892977",NA,NA,NA
"7892978",NA,NA,NA
"7892979",NA,NA,NA
"7892980",NA,NA,NA
"7892981",NA,NA,NA
"7892982",NA,NA,NA
"7892983",NA,NA,NA
"7892984",NA,NA,NA
"7892985",NA,NA,NA
"7892986",NA,NA,NA
"7892987",NA,NA,NA
"7892988",NA,NA,NA
"7892989",NA,NA,NA
"7892990",NA,NA,NA
"7892991",NA,NA,NA
"7892992",NA,NA,NA
"7892993",NA,NA,NA
"7892994",NA,NA,NA
"7892995",NA,NA,NA
"7892996",NA,NA,NA
"7892997",NA,NA,NA
"7892998",NA,NA,NA
"7892999",NA,NA,NA
"7893000",NA,NA,NA
"7893001",NA,NA,NA
"7893002",NA,NA,NA
"7893003",NA,NA,NA
"7893004",NA,NA,NA
"7893005",NA,NA,NA
"7893006",NA,NA,NA
"7893007",NA,NA,NA
"7893008",NA,NA,NA
"7893009",NA,NA,NA
"7893010",NA,NA,NA
"7893011",NA,NA,NA
"7893012",NA,NA,NA
"7893013",NA,NA,NA
"7893014",NA,NA,NA
"7893015",NA,NA,NA
"7893016",NA,NA,NA
"7893017",NA,NA,NA
"7893018",NA,NA,NA
"7893019",NA,NA,NA
"7893021",NA,NA,NA
"7893022",NA,NA,NA
"7893023",NA,NA,NA
"7893024",NA,NA,NA
"7893025",NA,NA,NA
"7893026",NA,NA,NA
"7893027",NA,NA,NA
"7893028",NA,NA,NA
"7893029",NA,NA,NA
"7893030",NA,NA,NA
"7893031",NA,NA,NA
"7893032",NA,NA,NA
"7893033",NA,NA,NA
"7893034",NA,NA,NA
"7893035",NA,NA,NA
"7893036",NA,NA,NA
"7893037",NA,NA,NA
"7893038",NA,NA,NA
"7893039",NA,NA,NA
"7893040",NA,NA,NA
"7893041",NA,NA,NA
"7893042",NA,NA,NA
"7893043",NA,NA,NA
"7893044",NA,NA,NA
"7893045",NA,NA,NA
"7893046",NA,NA,NA
"7893047",NA,NA,NA
"7893048",NA,NA,NA
"7893049",NA,NA,NA
"7893050",NA,NA,NA
"7893051",NA,NA,NA
"7893052",NA,NA,NA
"7893053",NA,NA,NA
"7893055",NA,NA,NA
"7893056",NA,NA,NA
"7893057",NA,NA,NA
"7893058",NA,NA,NA
"7893059",NA,NA,NA
"7893060",NA,NA,NA
"7893061",NA,NA,NA
"7893062",NA,NA,NA
"7893063",NA,NA,NA
"7893064",NA,NA,NA
"7893065",NA,NA,NA
"7893066",NA,NA,NA
"7893067",NA,NA,NA
"7893068",NA,NA,NA
"7893069",NA,NA,NA
"7893070",NA,NA,NA
"7893071",NA,NA,NA
"7893072",NA,NA,NA
"7893073",NA,NA,NA
"7893074",NA,NA,NA
"7893075",NA,NA,NA
"7893076",NA,NA,NA
"7893077",NA,NA,NA
"7893078",NA,NA,NA
"7893079",NA,NA,NA
"7893080",NA,NA,NA
"7893081",NA,NA,NA
"7893082",NA,NA,NA
"7893083",NA,NA,NA
"7893084",NA,NA,NA
"7893085",NA,NA,NA
"7893086",NA,NA,NA
"7893087",NA,NA,NA
"7893088",NA,NA,NA
"7893089",NA,NA,NA
"7893090",NA,NA,NA
"7893091",NA,NA,NA
"7893092",NA,NA,NA
"7893093",NA,NA,NA
"7893094",NA,NA,NA
"7893095",NA,NA,NA
"7893096",NA,NA,NA
"7893097",NA,NA,NA
"7893098",NA,NA,NA
"7893099",NA,NA,NA
"7893100",NA,NA,NA
"7893101",NA,NA,NA
"7893102",NA,NA,NA
"7893103",NA,NA,NA
"7893104",NA,NA,NA
"7893105",NA,NA,NA
"7893106",NA,NA,NA
"7893107",NA,NA,NA
"7893108",NA,NA,NA
"7893109",NA,NA,NA
"7893110",NA,NA,NA
"7893111",NA,NA,NA
"7893112",NA,NA,NA
"7893113",NA,NA,NA
"7893114",NA,NA,NA
"7893115",NA,NA,NA
"7893116",NA,NA,NA
"7893117",NA,NA,NA
"7893118",NA,NA,NA
"7893119",NA,NA,NA
"7893120",NA,NA,NA
"7893121",NA,NA,NA
"7893122",NA,NA,NA
"7893123",NA,NA,NA
"7893124",NA,NA,NA
"7893125",NA,NA,NA
"7893126",NA,NA,NA
"7893127",NA,NA,NA
"7893128",NA,NA,NA
"7893129",NA,NA,NA
"7893130",NA,NA,NA
"7893131",NA,NA,NA
"7893132",NA,NA,NA
"7893133",NA,NA,NA
"7893134",NA,NA,NA
"7893135",NA,NA,NA
"7893136",NA,NA,NA
"7893137",NA,NA,NA
"7893138",NA,NA,NA
"7893139",NA,NA,NA
"7893140",NA,NA,NA
"7893141",NA,NA,NA
"7893142",NA,NA,NA
"7893143",NA,NA,NA
"7893144",NA,NA,NA
"7893145",NA,NA,NA
"7893146",NA,NA,NA
"7893147",NA,NA,NA
"7893148",NA,NA,NA
"7893149",NA,NA,NA
"7893150",NA,NA,NA
"7893151",NA,NA,NA
"7893152",NA,NA,NA
"7893153",NA,NA,NA
"7893154",NA,NA,NA
"7893155",NA,NA,NA
"7893156",NA,NA,NA
"7893157",NA,NA,NA
"7893158",NA,NA,NA
"7893159",NA,NA,NA
"7893160",NA,NA,NA
"7893161",NA,NA,NA
"7893162",NA,NA,NA
"7893163",NA,NA,NA
"7893164",NA,NA,NA
"7893165",NA,NA,NA
"7893166",NA,NA,NA
"7893167",NA,NA,NA
"7893168",NA,NA,NA
"7893169",NA,NA,NA
"7893170",NA,NA,NA
"7893171",NA,NA,NA
"7893172",NA,NA,NA
"7893173",NA,NA,NA
"7893174",NA,NA,NA
"7893175",NA,NA,NA
"7893176",NA,NA,NA
"7893177",NA,NA,NA
"7893178",NA,NA,NA
"7893179",NA,NA,NA
"7893180",NA,NA,NA
"7893181",NA,NA,NA
"7893182",NA,NA,NA
"7893183",NA,NA,NA
"7893184",NA,NA,NA
"7893185",NA,NA,NA
"7893186",NA,NA,NA
"7893187",NA,NA,NA
"7893188",NA,NA,NA
"7893189",NA,NA,NA
"7893190",NA,NA,NA
"7893191",NA,NA,NA
"7893192",NA,NA,NA
"7893193",NA,NA,NA
"7893194",NA,NA,NA
"7893195",NA,NA,NA
"7893196",NA,NA,NA
"7893197",NA,NA,NA
"7893198",NA,NA,NA
"7893199",NA,NA,NA
"7893200",NA,NA,NA
"7893201",NA,NA,NA
"7893202",NA,NA,NA
"7893203",NA,NA,NA
"7893204",NA,NA,NA
"7893205",NA,NA,NA
"7893206",NA,NA,NA
"7893207",NA,NA,NA
"7893208",NA,NA,NA
"7893209",NA,NA,NA
"7893210",NA,NA,NA
"7893211",NA,NA,NA
"7893212",NA,NA,NA
"7893213",NA,NA,NA
"7893214",NA,NA,NA
"7893215",NA,NA,NA
"7893216",NA,NA,NA
"7893217",NA,NA,NA
"7893218",NA,NA,NA
"7893219",NA,NA,NA
"7893220",NA,NA,NA
"7893221",NA,NA,NA
"7893222",NA,NA,NA
"7893223",NA,NA,NA
"7893224",NA,NA,NA
"7893225",NA,NA,NA
"7893226",NA,NA,NA
"7893227",NA,NA,NA
"7893228",NA,NA,NA
"7893229",NA,NA,NA
"7893230",NA,NA,NA
"7893231",NA,NA,NA
"7893232",NA,NA,NA
"7893233",NA,NA,NA
"7893234",NA,NA,NA
"7893235",NA,NA,NA
"7893236",NA,NA,NA
"7893237",NA,NA,NA
"7893238",NA,NA,NA
"7893239",NA,NA,NA
"7893240",NA,NA,NA
"7893241",NA,NA,NA
"7893242",NA,NA,NA
"7893243",NA,NA,NA
"7893244",NA,NA,NA
"7893245",NA,NA,NA
"7893246",NA,NA,NA
"7893247",NA,NA,NA
"7893248",NA,NA,NA
"7893249",NA,NA,NA
"7893250",NA,NA,NA
"7893251",NA,NA,NA
"7893252",NA,NA,NA
"7893253",NA,NA,NA
"7893254",NA,NA,NA
"7893255",NA,NA,NA
"7893256",NA,NA,NA
"7893257",NA,NA,NA
"7893258",NA,NA,NA
"7893259",NA,NA,NA
"7893260",NA,NA,NA
"7893261",NA,NA,NA
"7893262",NA,NA,NA
"7893263",NA,NA,NA
"7893264",NA,NA,NA
"7893265",NA,NA,NA
"7893266",NA,NA,NA
"7893267",NA,NA,NA
"7893268",NA,NA,NA
"7893269",NA,NA,NA
"7893270",NA,NA,NA
"7893271",NA,NA,NA
"7893272",NA,NA,NA
"7893273",NA,NA,NA
"7893274",NA,NA,NA
"7893275",NA,NA,NA
"7893276",NA,NA,NA
"7893277",NA,NA,NA
"7893278",NA,NA,NA
"7893279",NA,NA,NA
"7893280",NA,NA,NA
"7893281",NA,NA,NA
"7893282",NA,NA,NA
"7893283",NA,NA,NA
"7893284",NA,NA,NA
"7893285",NA,NA,NA
"7893286",NA,NA,NA
"7893287",NA,NA,NA
"7893288",NA,NA,NA
"7893289",NA,NA,NA
"7893290",NA,NA,NA
"7893291",NA,NA,NA
"7893292",NA,NA,NA
"7893293",NA,NA,NA
"7893294",NA,NA,NA
"7893295",NA,NA,NA
"7893296",NA,NA,NA
"7893297",NA,NA,NA
"7893298",NA,NA,NA
"7893299",NA,NA,NA
"7893300",NA,NA,NA
"7893301",NA,NA,NA
"7893302",NA,NA,NA
"7893303",NA,NA,NA
"7893304",NA,NA,NA
"7893305",NA,NA,NA
"7893306",NA,NA,NA
"7893307",NA,NA,NA
"7893308",NA,NA,NA
"7893309",NA,NA,NA
"7893310",NA,NA,NA
"7893311",NA,NA,NA
"7893312",NA,NA,NA
"7893313",NA,NA,NA
"7893314",NA,NA,NA
"7893315",NA,NA,NA
"7893316",NA,NA,NA
"7893317",NA,NA,NA
"7893318",NA,NA,NA
"7893319",NA,NA,NA
"7893320",NA,NA,NA
"7893321",NA,NA,NA
"7893322",NA,NA,NA
"7893323",NA,NA,NA
"7893324",NA,NA,NA
"7893325",NA,NA,NA
"7893326",NA,NA,NA
"7893327",NA,NA,NA
"7893328",NA,NA,NA
"7893329",NA,NA,NA
"7893330",NA,NA,NA
"7893331",NA,NA,NA
"7893332",NA,NA,NA
"7893333",NA,NA,NA
"7893334",NA,NA,NA
"7893335",NA,NA,NA
"7893336",NA,NA,NA
"7893337",NA,NA,NA
"7893338",NA,NA,NA
"7893339",NA,NA,NA
"7893340",NA,NA,NA
"7893341",NA,NA,NA
"7893342",NA,NA,NA
"7893343",NA,NA,NA
"7893344",NA,NA,NA
"7893345",NA,NA,NA
"7893346",NA,NA,NA
"7893347",NA,NA,NA
"7893348",NA,NA,NA
"7893349",NA,NA,NA
"7893350",NA,NA,NA
"7893351",NA,NA,NA
"7893352",NA,NA,NA
"7893353",NA,NA,NA
"7893354",NA,NA,NA
"7893355",NA,NA,NA
"7893356",NA,NA,NA
"7893357",NA,NA,NA
"7893358",NA,NA,NA
"7893359",NA,NA,NA
"7893360",NA,NA,NA
"7893361",NA,NA,NA
"7893362",NA,NA,NA
"7893363",NA,NA,NA
"7893364",NA,NA,NA
"7893365",NA,NA,NA
"7893366",NA,NA,NA
"7893367",NA,NA,NA
"7893368",NA,NA,NA
"7893369",NA,NA,NA
"7893370",NA,NA,NA
"7893371",NA,NA,NA
"7893372",NA,NA,NA
"7893373",NA,NA,NA
"7893374",NA,NA,NA
"7893375",NA,NA,NA
"7893376",NA,NA,NA
"7893377",NA,NA,NA
"7893378",NA,NA,NA
"7893379",NA,NA,NA
"7893380",NA,NA,NA
"7893381",NA,NA,NA
"7893382",NA,NA,NA
"7893383",NA,NA,NA
"7893384",NA,NA,NA
"7893385",NA,NA,NA
"7893386",NA,NA,NA
"7893387",NA,NA,NA
"7893388",NA,NA,NA
"7893389",NA,NA,NA
"7893390",NA,NA,NA
"7893391",NA,NA,NA
"7893392",NA,NA,NA
"7893393",NA,NA,NA
"7893394",NA,NA,NA
"7893395",NA,NA,NA
"7893396",NA,NA,NA
"7893397",NA,NA,NA
"7893398",NA,NA,NA
"7893399",NA,NA,NA
"7893400",NA,NA,NA
"7893401",NA,NA,NA
"7893402",NA,NA,NA
"7893403",NA,NA,NA
"7893404",NA,NA,NA
"7893405",NA,NA,NA
"7893406",NA,NA,NA
"7893407",NA,NA,NA
"7893408",NA,NA,NA
"7893409",NA,NA,NA
"7893410",NA,NA,NA
"7893411",NA,NA,NA
"7893412",NA,NA,NA
"7893413",NA,NA,NA
"7893414",NA,NA,NA
"7893415",NA,NA,NA
"7893416",NA,NA,NA
"7893417",NA,NA,NA
"7893418",NA,NA,NA
"7893419",NA,NA,NA
"7893420",NA,NA,NA
"7893421",NA,NA,NA
"7893422",NA,NA,NA
"7893423",NA,NA,NA
"7893424",NA,NA,NA
"7893425",NA,NA,NA
"7893426",NA,NA,NA
"7893427",NA,NA,NA
"7893428",NA,NA,NA
"7893429",NA,NA,NA
"7893430",NA,NA,NA
"7893431",NA,NA,NA
"7893432",NA,NA,NA
"7893433",NA,NA,NA
"7893434",NA,NA,NA
"7893435",NA,NA,NA
"7893436",NA,NA,NA
"7893437",NA,NA,NA
"7893438",NA,NA,NA
"7893439",NA,NA,NA
"7893440",NA,NA,NA
"7893441",NA,NA,NA
"7893442",NA,NA,NA
"7893443",NA,NA,NA
"7893444",NA,NA,NA
"7893445",NA,NA,NA
"7893446",NA,NA,NA
"7893447",NA,NA,NA
"7893448",NA,NA,NA
"7893449",NA,NA,NA
"7893450",NA,NA,NA
"7893451",NA,NA,NA
"7893452",NA,NA,NA
"7893453",NA,NA,NA
"7893454",NA,NA,NA
"7893455",NA,NA,NA
"7893456",NA,NA,NA
"7893457",NA,NA,NA
"7893458",NA,NA,NA
"7893459",NA,NA,NA
"7893460",NA,NA,NA
"7893461",NA,NA,NA
"7893462",NA,NA,NA
"7893463",NA,NA,NA
"7893464",NA,NA,NA
"7893465",NA,NA,NA
"7893466",NA,NA,NA
"7893467",NA,NA,NA
"7893468",NA,NA,NA
"7893469",NA,NA,NA
"7893470",NA,NA,NA
"7893471",NA,NA,NA
"7893472",NA,NA,NA
"7893473",NA,NA,NA
"7893474",NA,NA,NA
"7893475",NA,NA,NA
"7893476",NA,NA,NA
"7893477",NA,NA,NA
"7893478",NA,NA,NA
"7893479",NA,NA,NA
"7893480",NA,NA,NA
"7893481",NA,NA,NA
"7893482",NA,NA,NA
"7893483",NA,NA,NA
"7893484",NA,NA,NA
"7893485",NA,NA,NA
"7893486",NA,NA,NA
"7893487",NA,NA,NA
"7893488",NA,NA,NA
"7893489",NA,NA,NA
"7893490",NA,NA,NA
"7893491",NA,NA,NA
"7893492",NA,NA,NA
"7893493",NA,NA,NA
"7893494",NA,NA,NA
"7893495",NA,NA,NA
"7893496",NA,NA,NA
"7893497",NA,NA,NA
"7893498",NA,NA,NA
"7893499",NA,NA,NA
"7893500",NA,NA,NA
"7893501",NA,NA,NA
